iter	Passed	Remaining
0	15	15884
1	35	17867
2	51	16972
3	67	16781
4	78	15655
5	96	15912
6	111	15876
7	135	16788
8	146	16096
9	162	16129
10	178	16062
11	189	15581
12	205	15635
13	221	15634
14	250	16468
15	266	16399
16	285	16497
17	303	16575
18	314	16247
19	326	16012
20	337	15748
21	347	15428
22	368	15652
23	387	15777
24	403	15741
25	413	15492
26	428	15446
27	441	15336
28	464	15538
29	478	15460
30	506	15829
31	542	16405
32	564	16541
33	602	17131
34	621	17132
35	654	17538
36	671	17479
37	692	17521
38	713	17577
39	725	17407
40	737	17261
41	760	17351
42	776	17284
43	799	17365
44	822	17454
45	857	17781
46	882	17887
47	905	17964
48	928	18015
49	943	17926
50	971	18078
51	993	18113
52	1022	18269
53	1039	18204
54	1057	18161
55	1070	18039
56	1081	17888
57	1090	17716
58	1103	17604
59	1116	17494
60	1142	17580
61	1155	17485
62	1171	17430
63	1190	17408
64	1206	17351
65	1220	17269
66	1242	17302
67	1258	17250
68	1283	17320
69	1309	17396
70	1325	17342
71	1340	17279
72	1355	17207
73	1370	17152
74	1384	17073
75	1399	17016
76	1414	16952
77	1424	16842
78	1439	16780
79	1467	16870
80	1480	16796
81	1500	16803
82	1521	16812
83	1531	16702
84	1554	16732
85	1564	16625
86	1580	16589
87	1597	16559
88	1612	16504
89	1636	16550
90	1654	16522
91	1666	16445
92	1678	16367
93	1693	16324
94	1705	16249
95	1724	16241
96	1742	16217
97	1754	16152
98	1769	16102
99	1789	16103
100	1799	16016
101	1810	15937
102	1821	15860
103	1834	15806
104	1841	15698
105	1852	15627
106	1868	15595
107	1884	15565
108	1904	15565
109	1920	15539
110	1933	15489
111	1947	15443
112	1967	15443
113	1980	15393
114	1995	15359
115	2009	15310
116	2030	15325
117	2067	15454
118	2091	15482
119	2112	15494
120	2125	15437
121	2136	15372
122	2148	15317
123	2164	15292
124	2171	15197
125	2185	15161
126	2214	15219
127	2224	15152
128	2236	15103
129	2246	15035
130	2257	14976
131	2268	14914
132	2281	14870
133	2299	14857
134	2315	14835
135	2325	14775
136	2336	14718
137	2347	14663
138	2360	14622
139	2374	14586
140	2386	14538
141	2401	14511
142	2428	14555
143	2435	14476
144	2455	14480
145	2478	14499
146	2496	14483
147	2521	14515
148	2542	14519
149	2559	14501
150	2590	14567
151	2598	14497
152	2613	14466
153	2629	14446
154	2639	14389
155	2650	14341
156	2657	14267
157	2668	14221
158	2676	14155
159	2696	14154
160	2713	14140
161	2727	14111
162	2737	14055
163	2747	14007
164	2758	13960
165	2778	13959
166	2788	13909
167	2798	13859
168	2805	13796
169	2813	13734
170	2830	13723
171	2842	13684
172	2853	13639
173	2865	13604
174	2872	13542
175	2878	13478
176	2885	13418
177	2898	13386
178	2906	13330
179	2912	13268
180	2922	13225
181	2936	13199
182	2951	13178
183	2970	13171
184	2982	13138
185	2996	13113
186	3005	13067
187	3015	13026
188	3027	12990
189	3033	12932
190	3045	12898
191	3060	12880
192	3067	12827
193	3081	12803
194	3105	12819
195	3115	12781
196	3127	12748
197	3136	12702
198	3144	12656
199	3150	12601
200	3161	12567
201	3168	12517
202	3175	12467
203	3190	12447
204	3204	12426
205	3228	12444
206	3241	12417
207	3257	12403
208	3272	12387
209	3285	12358
210	3295	12322
211	3304	12281
212	3311	12234
213	3321	12198
214	3346	12218
215	3355	12178
216	3365	12144
217	3379	12123
218	3392	12098
219	3413	12100
220	3425	12074
221	3432	12029
222	3439	11984
223	3448	11947
224	3460	11919
225	3469	11883
226	3475	11836
227	3488	11812
228	3496	11771
229	3510	11752
230	3528	11747
231	3537	11710
232	3552	11695
233	3563	11664
234	3570	11623
235	3580	11592
236	3590	11560
237	3651	11691
238	3666	11674
239	3678	11648
240	3693	11632
241	3726	11673
242	3749	11680
243	3756	11639
244	3764	11599
245	3776	11576
246	3784	11536
247	3798	11519
248	3811	11496
249	3824	11472
250	3843	11468
251	3849	11427
252	3858	11391
253	3882	11402
254	3888	11360
255	3895	11321
256	3910	11305
257	3919	11273
258	3933	11254
259	3942	11219
260	3955	11200
261	3963	11165
262	3972	11131
263	3992	11131
264	4012	11128
265	4021	11097
266	4037	11084
267	4060	11090
268	4073	11070
269	4083	11040
270	4094	11015
271	4120	11029
272	4133	11007
273	4171	11051
274	4178	11015
275	4208	11039
276	4217	11006
277	4232	10992
278	4246	10973
279	4255	10942
280	4262	10907
281	4270	10872
282	4289	10868
283	4300	10843
284	4308	10808
285	4325	10798
286	4343	10790
287	4349	10754
288	4360	10728
289	4374	10709
290	4386	10686
291	4407	10687
292	4415	10653
293	4430	10638
294	4445	10624
295	4454	10593
296	4462	10563
297	4472	10535
298	4481	10506
299	4496	10491
300	4504	10460
301	4514	10434
302	4531	10422
303	4537	10389
304	4547	10363
305	4572	10369
306	4583	10346
307	4590	10313
308	4605	10299
309	4616	10276
310	4627	10252
311	4636	10224
312	4647	10200
313	4659	10179
314	4666	10148
315	4680	10131
316	4692	10110
317	4700	10080
318	4719	10076
319	4731	10053
320	4740	10027
321	4757	10016
322	4769	9997
323	4796	10006
324	4822	10016
325	4841	10010
326	4852	9986
327	4861	9959
328	4869	9932
329	4876	9901
330	4883	9869
331	4889	9837
332	4897	9810
333	4909	9788
334	4916	9760
335	4927	9737
336	4941	9720
337	4947	9690
338	4953	9658
339	4960	9629
340	4968	9602
341	4977	9576
342	4983	9546
343	4990	9516
344	5001	9496
345	5012	9473
346	5034	9474
347	5055	9472
348	5084	9483
349	5104	9479
350	5115	9459
351	5132	9447
352	5140	9422
353	5148	9395
354	5164	9383
355	5176	9363
356	5185	9339
357	5199	9324
358	5208	9300
359	5215	9272
360	5224	9248
361	5235	9227
362	5243	9201
363	5257	9186
364	5268	9165
365	5279	9145
366	5287	9119
367	5301	9105
368	5315	9089
369	5324	9066
370	5346	9064
371	5357	9043
372	5368	9024
373	5381	9008
374	5390	8984
375	5402	8965
376	5412	8944
377	5426	8929
378	5433	8903
379	5442	8879
380	5458	8867
381	5465	8842
382	5481	8831
383	5490	8806
384	5499	8785
385	5513	8769
386	5526	8753
387	5537	8734
388	5551	8719
389	5557	8692
390	5573	8681
391	5580	8656
392	5597	8645
393	5607	8625
394	5621	8609
395	5629	8585
396	5642	8570
397	5654	8553
398	5662	8529
399	5669	8504
400	5677	8480
401	5688	8462
402	5695	8437
403	5703	8414
404	5711	8391
405	5725	8376
406	5732	8351
407	5738	8325
408	5751	8310
409	5762	8292
410	5770	8270
411	5789	8262
412	5796	8239
413	5803	8214
414	5810	8190
415	5818	8168
416	5836	8160
417	5845	8138
418	5886	8161
419	5895	8141
420	5904	8119
421	5914	8100
422	5925	8083
423	5936	8064
424	5944	8042
425	5953	8021
426	5968	8008
427	5982	7995
428	5995	7979
429	6004	7960
430	6015	7941
431	6023	7919
432	6033	7901
433	6052	7893
434	6064	7876
435	6080	7865
436	6087	7842
437	6098	7825
438	6115	7814
439	6121	7791
440	6132	7773
441	6139	7750
442	6147	7729
443	6161	7715
444	6168	7693
445	6183	7680
446	6194	7663
447	6212	7654
448	6218	7631
449	6229	7613
450	6240	7596
451	6248	7575
452	6259	7557
453	6266	7535
454	6278	7520
455	6290	7504
456	6301	7487
457	6316	7475
458	6326	7457
459	6332	7433
460	6342	7415
461	6356	7402
462	6364	7381
463	6383	7373
464	6389	7351
465	6396	7329
