,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad,Conciencia_Ambiental
0,filología hispánica,femenino,entre 22 y 24,grado en filología hispánica,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,nunca.,ocasionalmente.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
1,tecnología,masculino,mas de 31,grado en ingeniería de telecomunicaciones,algunas horas al día,nunca,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,ocasionalmente.,"sí, definitivamente.","no, ya conocía esta información.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
2,economía,femenino,mas de 31,grado en marketing e investigacion de mercados,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, a menudo pienso en ello.",siempre apago mis dispositivos.,ocasionalmente.,siempre.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
3,economía,masculino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,algunas horas al día,más de 3 horas,sí,"no, no lo había considerado.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,nunca.,"no, prefiero no hacerlo.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
4,biología y geología,femenino,mas de 31,grado en química,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",nunca los apago.,nunca.,nunca.,nunca.,"sí, pero me resulta difícil.","no, ya conocía esta información.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
5,otra,femenino,entre 25 y 27,grado en estudios ingleses,constantemente,constantemente,más de 3 horas,no,"no, no lo había considerado.",nunca los apago.,nunca.,ocasionalmente.,la mayoría de las veces.,"no, prefiero no hacerlo.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
6,otra,masculino,entre 22 y 24,grado en estudios ingleses,constantemente,constantemente,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,nunca.,ocasionalmente.,ocasionalmente.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",subir menos contenido a las redes sociales.,"sí, definitivamente.",0
7,economía,femenino,entre 22 y 24,grado en administración y dirección de empresas,algunas horas al día,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
8,otra,femenino,entre 22 y 24,grado en estudios ingleses,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",nunca los apago.,nunca.,siempre.,nunca.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
9,biología y geología,femenino,entre 25 y 27,grado en biotecnología,constantemente,constantemente,entre 2 horas y 3 horas,sí,"sí, a menudo pienso en ello.",la mayoría de las veces.,ocasionalmente.,siempre.,ocasionalmente.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
10,economía,masculino,entre 25 y 27,grado en administración y dirección de empresas,constantemente,algunas horas al día,más de 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
11,biología y geología,femenino,entre 25 y 27,grado en geología,constantemente,constantemente,entre 1 hora y 2 horas,sí,lo desconocía.,nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
