Marca_Temporal,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad
15/11/2023 17:13:51,Filología HIspánica,Femenino,Entre 22 y 24,Grado en Filología Hispánica,Constantemente,Algunas horas al día,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Nunca.,Ocasionalmente.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 17:14:07,Tecnología,Masculino,Mas de 31,Ingeniería de Telecomunicación,Algunas horas al día,Nunca,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",Siempre apago mis dispositivos.,La mayoría de las veces.,La mayoría de las veces.,Ocasionalmente.,"Sí, definitivamente.","No, ya conocía esta información.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:14:30,Economía,Femenino,Mas de 31,GRADO EN MARKETING E INVESTIGACION DE MERCADOS,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"Sí, a menudo pienso en ello.",Siempre apago mis dispositivos.,Ocasionalmente.,Siempre.,Siempre.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:14:37,Economía,Masculino,Entre 22 y 24,ADE,Constantemente,Algunas horas al día,Más de 3 horas,Sí,"No, no lo había considerado.",Nunca los apago.,La mayoría de las veces.,La mayoría de las veces.,Nunca.,"No, prefiero no hacerlo.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:14:39,Biología y Geología,Femenino,Mas de 31,grado química,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Nunca los apago.,Nunca.,Nunca.,Nunca.,"Sí, pero me resulta difícil.","No, ya conocía esta información.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 17:14:44,Otra,Femenino,Entre 25 y 27,Grado en Estudios Ingleses,Constantemente,Constantemente,Más de 3 horas,No,"No, no lo había considerado.",Nunca los apago.,Nunca.,Ocasionalmente.,La mayoría de las veces.,"No, prefiero no hacerlo.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 17:15:08,Otra,Masculino,Entre 22 y 24,Grado en Estudios Ingleses,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Nunca.,Ocasionalmente.,Ocasionalmente.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Subir menos contenido a las redes sociales.,"Sí, definitivamente."
15/11/2023 17:15:17,Economía,Femenino,Entre 22 y 24,Administración y Dirección de empresas,Algunas horas al día,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"Sí, ocasionalmente lo considero.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 17:15:39,Otra,Femenino,Entre 22 y 24,Grado en Estudios Ingleses,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Nunca los apago.,Nunca.,Siempre.,Nunca.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 17:15:44,Biología y Geología,Femenino,Entre 25 y 27,Grado en Biotecnología,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"Sí, a menudo pienso en ello.",La mayoría de las veces.,Ocasionalmente.,Siempre.,Ocasionalmente.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 17:15:49,Economía,Masculino,Entre 25 y 27,Administración y Dirección de Empresas,Constantemente,Algunas horas al día,Más de 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
