site_id,longitude,latitude,mean_power,distancia_m,profundidad_m,optimo
1712100068,2.1473,41.3337,3.542473242,1977.362321297658,5.0,0
2046078,-3.167,36.5,8.766999186,33935.36540604872,-860.0,0
3039043,-7.875,43.792,51.63605762,4479.827140043934,-66.0,0
1012012,-17.0,28.0,19.18816345,16283.53808207496,-1987.0,1
1056084,-6.0,46.0,68.55194676,345796.549155673,-4725.0,0
2092096,0.667,38.0,9.823360842,110800.50281586792,-2090.0,0
1042058,-9.5,39.5,51.65344568,20629.9921072302,-291.0,1
2054078,-2.5,36.5,10.44097208,32287.141487027016,-858.0,0
4020010,-16.833,28.083,12.81179016,8127.759300399864,-1448.0,1
1712100010,2.1845,41.37051,3.375627435,1722.930858088201,4.0,0
2124142,3.333,41.833,11.32308479,17452.22368384984,-601.0,1
6070002,-5.333,35.783,5.56510476,241.09360198853287,-29.0,0
2108134,2.0,41.167,5.891098037,14336.356013078492,-73.0,0
2123150,3.25,42.5,8.32246277,10474.890783252156,-87.0,0
2006007,-5.25,35.875,6.375971078,5125.054825492347,-354.0,0
1034090,-11.5,47.5,88.00619716,701813.4508200833,-4642.0,0
4010006,-17.667,27.75,25.9436756,24974.556014854563,-3266.0,1
6068024,-5.367,36.15,2.539323438,564.8038782537558,-20.0,0
4010024,-17.667,29.25,37.99905009,53171.174125256446,-3935.0,0
6066012,-5.4,35.95,10.39516418,3285.7495623028585,-752.0,1
2136122,4.333,40.167,16.94930238,23434.45097740748,-1508.0,1
1712100002,2.1826,41.37899,3.732254034,2527.1859424176023,6.0,0
2118112,2.833,39.333,5.675842807,4330.972185660291,-37.0,0
1064086,-4.0,46.5,59.06137739,158068.09903031413,-141.0,0
3027034,-8.375,43.417,42.31203589,4990.852952298213,-52.0,0
1036088,-11.0,47.0,85.23213256,615722.350118593,-4739.0,0
1008012,-18.0,28.0,34.04445536,20039.62222321715,-3165.0,1
1056077,-6.0,44.25,58.47101516,92260.75688331964,-4750.0,0
2054079,-2.5,36.583,9.357537659,23417.226261885364,-500.0,0
3140037,-3.667,43.542,38.68732595,6415.205933005734,-74.0,0
4064016,-13.167,28.583,23.30547712,63026.74559734411,-824.0,0
1813100019,2.625195566,39.54714007,4.688354699,1079.111031404792,-8.0,0
2151082,5.583,36.833,10.55639517,7877.093425183048,-706.0,1
2146081,5.167,36.75,7.797916656,7934.854089033474,-42.0,0
6054006,-5.6,35.85,6.356780882,3095.827937586508,-23.0,0
2100124,1.333,40.333,8.626962923,73643.87168503387,-627.0,0
2086120,0.167,40.0,4.739070357,9900.804479819364,-36.0,0
1412100004,-17.9013,27.7817,3.764699031,372.771865903385,-27.0,0
4036002,-15.5,27.417,15.2543812,40789.9054239181,-2783.0,0
1040048,-10.0,37.0,51.36840185,111596.35800203936,-3073.0,0
1525100026,-1.89792,36.9637,2.62353467,514.9581907358711,-15.0,0
4026010,-16.333,28.083,11.98033854,13458.571163942566,-1899.0,1
1712100020,2.18592,41.36845,3.324514724,1434.7462826467793,4.0,0
1416100023,-16.5199,28.0572,5.177076397,163.51807322792624,6.0,0
